id,word,sum_log_prob,sum_original_metrics_nae,sum_projected_metrics_nae,sum_stack_count
1.1,If,-1.671004295349121,6.356613074729201,6.210714957431320,3.119436650155399
1.2,you,-2.709590911865234,5.300615604250138,5.139568522592032,6.087783354315502
1.3,were,-3.601009130477905,4.768520513116392,4.154573672156358,8.098842903084540
1.4,to,-0.004784326534718,4.976471799161594,4.384897751639985,11.054095294434516
1.5,journey,-13.464029312133787,4.368093726661211,4.960524043204568,13.206356504463244
1.6,to,-9.143484115600586,4.274666734196458,3.750046039023199,14.130638095759027
1.7,the,-8.571264266967772,4.621995221180748,4.463769571925837,15.128195329308205
1.8,North,-5.831646919250487,5.311029697202757,5.674432972412668,17.441244772425758
1.9,of,-9.551966667175293,4.508404558090335,4.490962334570359,19.303375506102249
1.10,"England ,",-24.190003395080566,9.358041123314436,9.592561237762933,42.216620760203313
1.11,you,-13.237068176269533,5.351920114961317,5.233260834697249,16.647453223319893
1.12,would,-10.600336074829102,6.372280372528973,6.805895514635433,6.008065065308227
1.13,come,-5.677051544189452,5.179369307464109,4.952710011628144,8.043534232572782
1.14,to,-3.740844964981079,5.470078871176765,5.698923519208515,10.063788723743842
1.15,a,-4.964516162872314,4.610652398990609,5.366976136334023,12.724949061941452
1.16,valley,-11.368343353271484,4.336871153755556,4.422624715862192,14.606022673863942
1.17,that,-11.227273941040039,4.485233228065884,4.195650424772852,15.089088853742766
1.18,is,-10.345541000366213,3.968759015419702,3.726766243590882,16.079787724765080
1.19,surrounded,-16.824631929397587,10.021269791617481,10.125040421103595,14.582400162669876
1.20,by,-9.311319351196287,5.103435778180045,5.405145104810432,18.509521794746558
1.21,moors,-15.206239700317385,10.838648154467514,11.064814193819556,22.720957407828976
1.22,as,-6.476668834686278,4.904626966809870,4.996385496308249,24.975794320584281
1.23,high,-8.226300239562987,4.587051598730189,5.163319019666877,27.367580229947123
1.24,as,-9.458993911743164,4.542787810014994,4.789625153254232,27.656506979668013
1.25,mountains .,-30.447736263275146,13.063615038320339,13.726733272914302,55.200828236040891
1.26,It,-3.523702144622803,5.975466083379700,6.746003274069055,3.255935461031633
1.27,is,-1.846124768257141,5.356195530113091,5.435642911642519,5.133538266149774
1.28,in,-1.134425759315491,3.782236178899681,3.668853391025138,7.135867915001180
1.29,this,-2.675802230834961,3.929363393193653,4.071071580016370,9.246119594107286
1.30,valley,-7.665875911712646,4.116925539466730,4.355903943101766,10.324159686705164
1.31,where,-17.918044567108158,7.819947102314074,7.992060665047079,11.529756981827544
1.32,you,-16.057655334472653,4.833610416526371,5.745372463789786,10.192451375929622
1.33,would,-10.238965988159180,4.952933868249628,6.235729315250576,13.236588708167961
1.34,find,-6.542919635772705,3.750771590097818,3.835200852713872,15.542258913383336
1.35,the,-8.772833824157715,4.109498393900669,4.248384464858972,17.362322996800348
1.36,city,-9.327588081359863,3.705843652813073,3.836065145132638,19.782201072223888
1.37,of,-9.268939971923828,4.995258028585938,5.070755437325057,20.733567625298370
1.38,"Bradford ,",-25.855910301208493,8.268853334629606,8.955823852549759,45.014120645658139
1.39,where,-11.733512163162231,6.512564232430327,6.821604564265481,24.000557992834910
1.40,once,-10.310865402221680,3.301574283279392,3.152576084819768,25.756163248244953
1.41,a,-8.317293167114258,3.686653920222865,4.388719662168660,28.370963172085514
1.42,thousand,-13.331923484802244,5.448695279518679,6.103763445209162,32.669587217638870
1.43,spinning,-15.820967674255373,4.553913032994103,4.844736064074368,34.232604894571274
1.44,jennies,-23.870354592800140,13.627444023169296,15.543407116449234,35.206668711038283
1.45,that,-12.361875534057615,4.283012998731670,4.391090241145545,35.093106891591106
1.46,hummed,-24.310834884643555,6.022202966900557,6.214817181864940,34.102958031175120
1.47,and,-6.582555294036865,5.691655626383501,5.835370804313729,35.062320105286233
1.48,clattered,-18.283922016620640,14.189403444410130,15.182344579372462,36.064483885797060
1.49,spun,-15.418473720550535,8.328081263518154,8.999988936236356,38.840742780840905
1.50,wool,-12.317929744720461,7.250257950786980,7.622270666899986,35.316134210642048
1.51,into,-11.046270370483398,4.216823794747260,4.704589550569764,36.368218258917530
1.52,money,-12.247491836547852,3.578897176519139,3.482864825566886,36.994158236700933
1.53,for,-9.508095741271973,4.791707862325349,4.931880189586990,38.000158654382055
1.54,the,-7.488226413726808,4.722539023326126,4.756720440368737,39.000369591615865
1.55,long-bearded,-28.669408679008484,19.215535841538447,19.351257094608524,42.995933843042145
1.56,mill,-13.323278427124025,3.891288593168863,4.239456483789244,36.131685313315394
1.57,owners .,-17.858311653137207,10.679025316801983,10.494489820737481,76.651249678221035
1.58,That,-4.288662433624268,5.846706585606485,6.101714405391387,3.184729691369745
1.59,all,-5.345597267150879,5.403307789294121,5.461904483908323,5.797570713967736
1.60,mill,-14.476227760314940,5.072320532584592,5.287373589495791,5.042139101892111
1.61,owners,-1.821212053298950,4.796774409168972,4.495780305397575,10.564735059592092
1.62,were,-2.919292926788330,3.651324934623872,3.497916059652200,8.835256983809971
1.63,generally,-5.091233968591041,10.083618692636373,10.241520826951492,7.451659867205014
1.64,busy,-6.976066112518311,4.842849586110434,5.189161748663194,9.479592251011004
1.65,as,-3.943763256072998,5.991359045154764,5.997314615823194,11.420504621936555
1.66,beavers,-16.197787284851074,10.421250865103943,10.992982124913018,13.362856228646693
1.67,and,-4.618083953857422,6.376017339124560,6.596631425968334,14.222006050486536
1.68,quite,-12.558422088623047,5.735986763991648,6.121016632428153,15.179107531930070
1.69,pleased,-16.435163021087643,10.854478023691035,11.712119136854293,16.141520233652205
1.70,with,-11.298941612243652,5.112031405297508,5.420982030899820,16.001264970071293
1.71,themselves,-10.600635528564453,4.921532921360172,4.940414430972672,18.394509311310760
1.72,for,-3.795888423919678,4.454016111800132,4.394453574810623,18.637315680286864
1.73,being,-11.491817474365234,5.200675929156104,5.354056031274372,21.491883278939266
1.74,so,-11.043184280395508,5.037520463803878,5.085820401468549,16.292507056011239
1.75,successful,-13.427709579467773,4.850235268556242,5.074697733463601,22.993378936811013
1.76,and,-8.767717361450195,4.761159316484128,4.915969133426709,25.913976911471103
1.77,well,-5.609950065612793,3.639547733534648,3.908812164566192,26.549675455120887
1.78,off,-7.178834438323975,4.640370126712456,4.454609710058731,27.337123844664355
1.79,was,-11.128988265991213,4.917397443015618,4.787022867209296,29.594769740777174
1.80,known,-10.815252304077148,8.502943433595844,8.444395519547884,29.778101853845921
1.81,to,-4.157796859741212,5.201849386786616,5.237138226779033,31.950761638746386
1.82,the,-9.656211853027344,4.139406168563300,4.299334068924355,33.000600130911216
1.83,residents,-12.512604236602785,8.141587950062227,8.565551869645468,35.894039924396779
1.84,of,-9.539549827575684,4.476364120947522,4.466518629779368,37.663265439898474
1.85,"Bradford ,",-25.891280174255371,8.496247813561450,8.492746464273747,78.539914540876737
1.86,and,-9.104896545410156,3.905334477608230,4.090265730710888,42.291822804675149
1.87,if,-7.093300342559815,2.913784715289420,2.954815522507548,43.318798565979080
1.88,you,-11.803070068359375,4.220715920833086,4.113009722837258,45.005723738791183
1.89,were,-8.156373977661133,3.683077271090530,3.565690939016150,45.853508138099308
1.90,to,-10.239448547363279,5.106083189956131,5.226534872887298,24.003292656003328
1.91,go,-10.433487892150881,4.237483755500587,4.768311798786206,27.001962515394386
1.92,into,-11.448326110839846,3.988657779170394,4.301453276778227,30.054324086147304
1.93,the,-8.066652297973633,4.601395787302334,4.881998161356216,32.053018361272528
